Group,Group2,Label,N,P,T1,T2,x,y,Numbers,Percent,cratio,Label2,Group,
Age,<b>Age</b>,<span>&#8805;</span>75,4.6,, million US adults ,with ASCVD,4.15,1,4.6 million US adults ,with ASCVD,55,<b><span>&#8805;</span>75</b>,Age,
Age,<b>Age</b>,<span>&#8805;</span>76,4.4,95.5, million adults with very-high ASCVD risk,% of all US adults with ASCVD,4.15,1,4.4 million adults with very-high ASCVD risk,95.5% of all US adults with ASCVD,55,<b><span>&#8805;</span>75</b>,Age,
Age,<b>Age</b>,<span>&#8805;</span>77,3.1,66.8, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,4.15,1,3.1 million adults with very-high ASCVD risk were recommended for add-on therapy,66.8% of all US adults with ASCVD,55,<b><span>&#8805;</span>75</b>,Age,
Age,<b>Age</b>,<span>&#8805;</span>78,0.3,8.8, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,4.15,1,0.3 million adults were receiving add-on therapy,8.8% of adults with very-high ASCVD risk were recommended for add-on therapy ,55,<b><span>&#8805;</span>75</b>,Age,
Gender,<b>Gender</b>,Female,8.3,, million US adults ,with ASCVD,1,1,8.3 million US adults ,with ASCVD,45,<b>Female</b>,Gender,
Gender,<b>Gender</b>,Female,6.5,77.9, million adults with very-high ASCVD risk,% of all US adults with ASCVD,1,1,6.5 million adults with very-high ASCVD risk,77.9% of all US adults with ASCVD,45,<b>Female</b>,Gender,
Gender,<b>Gender</b>,Female,5,60, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,1,1,5.0 million adults with very-high ASCVD risk were recommended for add-on therapy,60% of all US adults with ASCVD,45,<b>Female</b>,Gender,
Gender,<b>Gender</b>,Female,0.4,7.3, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,1,1,0.4 million adults were receiving add-on therapy,7.3% of adults with very-high ASCVD risk were recommended for add-on therapy ,45,<b>Female</b>,Gender,
Gender,<b>Gender</b>,Male,10.4,, million US adults ,with ASCVD,1.5,1,10.4 million US adults ,with ASCVD,45,<b>Male</b>,Gender,
Gender,<b>Gender</b>,Male,8.8,84.5, million adults with very-high ASCVD risk,% of all US adults with ASCVD,1.5,1,8.8 million adults with very-high ASCVD risk,84.5% of all US adults with ASCVD,45,<b>Male</b>,Gender,
Gender,<b>Gender</b>,Male,6.5,62.5, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,1.5,1,6.5 million adults with very-high ASCVD risk were recommended for add-on therapy,62.5% of all US adults with ASCVD,45,<b>Male</b>,Gender,
Gender,<b>Gender</b>,Male,0.2,3.7, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,1.5,1,0.2 million adults were receiving add-on therapy,3.7% of adults with very-high ASCVD risk were recommended for add-on therapy ,45,<b>Male</b>,Gender,
Race,<b>Race</b>,Non-Hispanic White,13.4,, million US adults ,with ASCVD,0.8,1,13.4 million US adults ,with ASCVD,35,<b>Non-Hispanic White</b>,Race,
Race,<b>Race</b>,Non-Hispanic White,10.9,81.7, million adults with very-high ASCVD risk,% of all US adults with ASCVD,0.8,1,10.9 million adults with very-high ASCVD risk,81.7% of all US adults with ASCVD,35,<b>Non-Hispanic White</b>,Race,
Race,<b>Race</b>,Non-Hispanic White,8.2,61.4, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,0.8,1,8.2 million adults with very-high ASCVD risk were recommended for add-on therapy,61.4% of all US adults with ASCVD,35,<b>Non-Hispanic White</b>,Race,
Race,<b>Race</b>,Non-Hispanic White,0.5,6.3, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,0.8,1,0.5 million adults were receiving add-on therapy,6.3% of adults with very-high ASCVD risk were recommended for add-on therapy ,35,<b>Non-Hispanic White</b>,Race,
Race,<b>Race</b>,Non-Hispanic Black,2.1,, million US adults ,with ASCVD,3,1,2.1 million US adults ,with ASCVD,35,<b>Non-Hispanic Black</b>,Race,
Race,<b>Race</b>,Non-Hispanic Black,1.8,83.7, million adults with very-high ASCVD risk,% of all US adults with ASCVD,3,1,1.8million adults with very-high ASCVD risk,83.7% of all US adults with ASCVD,35,<b>Non-Hispanic Black</b>,Race,
Race,<b>Race</b>,Non-Hispanic Black,1.4,65.7, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,3,1,1.4 million adults with very-high ASCVD risk were recommended for add-on therapy,65.7% of all US adults with ASCVD,35,<b>Non-Hispanic Black</b>,Race,
Race,<b>Race</b>,Non-Hispanic Black,0.05,3.5, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,3,1,0.05 million adults were receiving add-on therapy,3.5% of adults with very-high ASCVD risk were recommended for add-on therapy ,35,<b>Non-Hispanic Black</b>,Race,
Race,<b>Race</b>,Hispanics,1.5,, million US adults ,with ASCVD,4,1,1.5 million US adults ,with ASCVD,35,<b>Hispanics</b>,Race,
Race,<b>Race</b>,Hispanics,1,70, million adults with very-high ASCVD risk,% of all US adults with ASCVD,4,1,1.0 million adults with very-high ASCVD risk,70% of all US adults with ASCVD,35,<b>Hispanics</b>,Race,
Race,<b>Race</b>,Hispanics,0.8,54.2, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,4,1,0.8 million adults with very-high ASCVD risk were recommended for add-on therapy,54.2% of all US adults with ASCVD,35,<b>Hispanics</b>,Race,
Race,<b>Race</b>,Hispanics,0.01,1.5, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,4,1,0.01 million adults were receiving add-on therapy,1.5% of adults with very-high ASCVD risk were recommended for add-on therapy ,35,<b>Hispanics</b>,Race,
Race,<b>Race</b>,Other,1.7,, million US adults ,with ASCVD,5,1,1.7 million US adults ,with ASCVD,35,<b> Other</b>,Race,
Race,<b>Race</b>,Other,1.4,88.7, million adults with very-high ASCVD risk,% of all US adults with ASCVD,5,1,1.4 million adults with very-high ASCVD risk,88.7% of all US adults with ASCVD,35,<b> Other</b>,Race,
Race,<b>Race</b>,Other,1,62.3, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,5,1,1.0 million adults with very-high ASCVD risk were recommended for add-on therapy,62.3% of all US adults with ASCVD,35,<b> Other</b>,Race,
Race,<b>Race</b>,Other,0.027,2.6, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,5,1,0.027 million adults were receiving add-on therapy,2.6% of adults with very-high ASCVD risk were recommended for add-on therapy ,35,<b> Other</b>,Race,
Smoking,<b>Smoking</b>,Non-smoker,14.9,, million US adults ,with ASCVD,1,1,14.9 million US adults ,with ASCVD,30,<b> Non-smoker</b>,Smoking,
Smoking,<b>Smoking</b>,Non-smoker,11.7,79, million adults with very-high ASCVD risk,% of all US adults with ASCVD,1,1,11.7 million adults with very-high ASCVD risk,79% of all US adults with ASCVD,30,<b> Non-smoker</b>,Smoking,
Smoking,<b>Smoking</b>,Non-smoker,8.6,57.4, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,1,1,8.6 million adults with very-high ASCVD risk were recommended for add-on therapy,57.4% of all US adults with ASCVD,30,<b> Non-smoker</b>,Smoking,
Smoking,<b>Smoking</b>,Non-smoker,0.6,6.4, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,1,1,0.6 million adults were receiving add-on therapy,6.4% of adults with very-high ASCVD risk were recommended for add-on therapy ,30,<b> Non-smoker</b>,Smoking,
Smoking,<b>Smoking</b>,Smoker,3.8,, million US adults ,with ASCVD,1.5,1,3.8 million US adults ,with ASCVD,30,<b> Smoker</b>,Smoking,
Smoking,<b>Smoking</b>,Smoker,3.5,91.5, million adults with very-high ASCVD risk,% of all US adults with ASCVD,1.5,1,3.5 million adults with very-high ASCVD risk,91.5% of all US adults with ASCVD,30,<b> Smoker</b>,Smoking,
Smoking,<b>Smoking</b>,Smoker,2.9,76.7, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,1.5,1,2.9 million adults with very-high ASCVD risk were recommended for add-on therapy,76.7% of all US adults with ASCVD,30,<b> Smoker</b>,Smoking,
Smoking,<b>Smoking</b>,Smoker,0.06,1.8, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,1.5,1,0.06 million adults were receiving add-on therapy,1.8% of adults with very-high ASCVD risk were recommended for add-on therapy ,30,<b> Smoker</b>,Smoking,
Diabetes,<b>Diabetes</b>,No diabetes,11.8,, million US adults ,with ASCVD,1,1,11.8 million US adults ,with ASCVD,40,<b>No diabetes</b>,Diabetes,
Diabetes,<b>Diabetes</b>,No diabetes,8.5,72, million adults with very-high ASCVD risk,% of all US adults with ASCVD,1,1,8.5 million adults with very-high ASCVD risk,72% of all US adults with ASCVD,40,<b>No diabetes</b>,Diabetes,
Diabetes,<b>Diabetes</b>,No diabetes,6.5,55.1, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,1,1,6.5 million adults with very-high ASCVD risk were recommended for add-on therapy,55.1% of all US adults with ASCVD,40,<b>No diabetes</b>,Diabetes,
Diabetes,<b>Diabetes</b>,No diabetes,0.3,4.1, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,1,1,0.3 million adults were receiving add-on therapy,4.1% of adults with very-high ASCVD risk were recommended for add-on therapy ,40,<b>No diabetes</b>,Diabetes,
Diabetes,<b>Diabetes</b>,Diabetes,6.93,, million US adults ,with ASCVD,1.5,1,6.93 million US adults ,with ASCVD,40,<b>Diabetes</b>,Diabetes,
Diabetes,<b>Diabetes</b>,Diabetes,6.8,97.8, million adults with very-high ASCVD risk,% of all US adults with ASCVD,1.5,1,6.8 million adults with very-high ASCVD risk,97.8% of all US adults with ASCVD,40,<b>Diabetes</b>,Diabetes,
Diabetes,<b>Diabetes</b>,Diabetes,5,72, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,1.5,1,5.0 million adults with very-high ASCVD risk were recommended for add-on therapy,72% of all US adults with ASCVD,40,<b>Diabetes</b>,Diabetes,
Diabetes,<b>Diabetes</b>,Diabetes,0.3,6.7, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,1.5,1,0.3 million adults were receiving add-on therapy,6.7% of adults with very-high ASCVD risk were recommended for add-on therapy ,40,<b>Diabetes</b>,Diabetes,
Hypertension,<b>Hypertension</b>,No hypertension,3.9,, million US adults ,with ASCVD,1,1,3.9 million US adults ,with ASCVD,30,<b>No hypertension</b>,Hypertension,
Hypertension,<b>Hypertension</b>,No hypertension,2,51.5, million adults with very-high ASCVD risk,% of all US adults with ASCVD,1,1,2.0 million adults with very-high ASCVD risk,51.5% of all US adults with ASCVD,30,<b>No hypertension</b>,Hypertension,
Hypertension,<b>Hypertension</b>,No hypertension,1.6,40.8, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,1,1,1.6 million adults with very-high ASCVD risk were recommended for add-on therapy,40.8% of all US adults with ASCVD,30,<b>No hypertension</b>,Hypertension,
Hypertension,<b>Hypertension</b>,No hypertension,0.07,4.2, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,1,1,0.07 million adults were receiving add-on therapy,4.2% of adults with very-high ASCVD risk were recommended for add-on therapy ,30,<b>No hypertension</b>,Hypertension,
Hypertension,<b>Hypertension</b>,Hypertension,14.6,, million US adults ,with ASCVD,1.5,1,14.6 million US adults ,with ASCVD,30,<b>Hypertension</b>,Hypertension,
Hypertension,<b>Hypertension</b>,Hypertension,13.1,89.9, million adults with very-high ASCVD risk,% of all US adults with ASCVD,1.5,1,13.1 million adults with very-high ASCVD risk,89.9% of all US adults with ASCVD,30,<b>Hypertension</b>,Hypertension,
Hypertension,<b>Hypertension</b>,Hypertension,9.8,67, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,1.5,1,9.8 million adults with very-high ASCVD risk were recommended for add-on therapy,67% of all US adults with ASCVD,30,<b>Hypertension</b>,Hypertension,
Hypertension,<b>Hypertension</b>,Hypertension,0.5,5.5, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,1.5,1,0.5 million adults were receiving add-on therapy,5.5% of adults with very-high ASCVD risk were recommended for add-on therapy ,30,<b>Hypertension</b>,Hypertension,
CKD,<b>CKD</b>,No CKD,11.7,, million US adults ,with ASCVD,1,1,11.7 million US adults ,with ASCVD,40,<b>No CKD</b>,CKD,
CKD,<b>CKD</b>,No CKD,8.3,70.9, million adults with very-high ASCVD risk,% of all US adults with ASCVD,1,1,8.3 million adults with very-high ASCVD risk,70.9% of all US adults with ASCVD,40,<b>No CKD</b>,CKD,
CKD,<b>CKD</b>,No CKD,6.4,6.4, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,1,1,6.4 million adults with very-high ASCVD risk were recommended for add-on therapy,6.4% of all US adults with ASCVD,40,<b>No CKD</b>,CKD,
CKD,<b>CKD</b>,No CKD,0.3,0.3, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,1,1,0.3 million adults were receiving add-on therapy,0.3% of adults with very-high ASCVD risk were recommended for add-on therapy ,40,<b>No CKD</b>,CKD,
CKD,<b>CKD</b>,CKD,7,, million US adults ,with ASCVD,1.5,1,7.0 million US adults ,with ASCVD,40,<b>CKD</b>,CKD,
CKD,<b>CKD</b>,CKD,6.9,99.5, million adults with very-high ASCVD risk,% of all US adults with ASCVD,1.5,1,6.9 million adults with very-high ASCVD risk,99.5% of all US adults with ASCVD,40,<b>CKD</b>,CKD,
CKD,<b>CKD</b>,CKD,5.1,73.1, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,1.5,1,5.1 million adults with very-high ASCVD risk were recommended for add-on therapy,73.1% of all US adults with ASCVD,40,<b>CKD</b>,CKD,
CKD,<b>CKD</b>,CKD,0.3,0.3, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,1.5,1,0.3 million adults were receiving add-on therapy,0.3% of adults with very-high ASCVD risk were recommended for add-on therapy ,40,<b>CKD</b>,CKD,
Heart Failure,<b>Heart Failure</b>,No heart failure,14.7,, million US adults ,with ASCVD,1,1,14.7 million US adults ,with ASCVD,30,<b>No heart failure</b>,Heart Failure,
Heart Failure,<b>Heart Failure</b>,No heart failure,11.3,76.7, million adults with very-high ASCVD risk,% of all US adults with ASCVD,1,1,11.3 million adults with very-high ASCVD risk,76.7% of all US adults with ASCVD,30,<b>No heart failure</b>,Heart Failure,
Heart Failure,<b>Heart Failure</b>,No heart failure,8.5,57.8, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,1,1,8.5 million adults with very-high ASCVD risk were recommended for add-on therapy,57.8% of all US adults with ASCVD,30,<b>No heart failure</b>,Heart Failure,
Heart Failure,<b>Heart Failure</b>,No heart failure,0.4,4.7, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,1,1,0.4 million adults were receiving add-on therapy,4.7% of adults with very-high ASCVD risk were recommended for add-on therapy ,30,<b>No heart failure</b>,Heart Failure,
Heart Failure,<b>Heart Failure</b>,History of heart failure,3.8,, million US adults ,with ASCVD,1.2,1,3.8 million US adults ,with ASCVD,30,<b>History of heart failure</b>,Heart Failure,
Heart Failure,<b>Heart Failure</b>,History of heart failure,3.7,99.3, million adults with very-high ASCVD risk,% of all US adults with ASCVD,1.2,1,3.7 million adults with very-high ASCVD risk,99.3% of all US adults with ASCVD,30,<b>History of heart failure</b>,Heart Failure,
Heart Failure,<b>Heart Failure</b>,History of heart failure,2.9,76.6, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,1.2,1,2.9 million adults with very-high ASCVD risk were recommended for add-on therapy,76.6% of all US adults with ASCVD,30,<b>History of heart failure</b>,Heart Failure,
Heart Failure,<b>Heart Failure</b>,History of heart failure,0.2,7.1, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,1.2,1,0.2 million adults were receiving add-on therapy,7.1% of adults with very-high ASCVD risk were recommended for add-on therapy ,30,<b>History of heart failure</b>,Heart Failure,
Reason for very-high risk,<b>Reason for very-high risk</b>,Not very-high risk ,3.5,, million US adults ,with ASCVD,1,1,3.5 million US adults ,with ASCVD,35,<b>Not very-high risk </b>,Reason for very-high risk,
Reason for very-high risk,<b>Reason for very-high risk</b>,Not very-high risk ,0,0, million adults with very-high ASCVD risk,% of all US adults with ASCVD,1,1,0 million adults with very-high ASCVD risk,0% of all US adults with ASCVD,35,<b>Not very-high risk </b>,Reason for very-high risk,
Reason for very-high risk,<b>Reason for very-high risk</b>,Not very-high risk ,0,0, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,1,1,0 million adults with very-high ASCVD risk were recommended for add-on therapy,0% of all US adults with ASCVD,35,<b>Not very-high risk </b>,Reason for very-high risk,
Reason for very-high risk,<b>Reason for very-high risk</b>,Not very-high risk ,0,0, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,1,1,0 million adults were receiving add-on therapy,0% of adults with very-high ASCVD risk were recommended for add-on therapy ,35,<b>Not very-high risk </b>,Reason for very-high risk,
Reason for very-high risk,<b>Reason for very-high risk</b>,One major ASCVD event <br>and multiple risk factors,11.4,, million US adults ,with ASCVD,1.5,1,11.4 million US adults ,with ASCVD,35,<b>One major ASCVD event <br>and multiple risk factors </b>,Reason for very-high risk,
Reason for very-high risk,<b>Reason for very-high risk</b>,One major ASCVD event <br>and multiple risk factors,11.4,100, million adults with very-high ASCVD risk,% of all US adults with ASCVD,1.5,1,11.4 million adults with very-high ASCVD risk,100% of all US adults with ASCVD,35,<b>One major ASCVD event <br>and multiple risk factors </b>,Reason for very-high risk,
Reason for very-high risk,<b>Reason for very-high risk</b>,One major ASCVD event <br>and multiple risk factors,8.7,76.8, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,1.5,1,8.7 million adults with very-high ASCVD risk were recommended for add-on therapy,76.8% of all US adults with ASCVD,35,<b>One major ASCVD event <br>and multiple risk factors </b>,Reason for very-high risk,
Reason for very-high risk,<b>Reason for very-high risk</b>,One major ASCVD event <br>and multiple risk factors,0.4,4.2, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,1.5,1,0.4 million adults were receiving add-on therapy,4.2% of adults with very-high ASCVD risk were recommended for add-on therapy ,35,<b>One major ASCVD event <br>and multiple risk factors </b>,Reason for very-high risk,
Reason for very-high risk,<b>Reason for very-high risk</b>,Two or more<br> major ASCVD events ,3.8,, million US adults ,with ASCVD,2,1,3.8 million US adults ,with ASCVD,35,<b> Two or more<br> major ASCVD events </b>,Reason for very-high risk,
Reason for very-high risk,<b>Reason for very-high risk</b>,Two or more<br> major ASCVD events ,3.8,100, million adults with very-high ASCVD risk,% of all US adults with ASCVD,2,1,3.8 million adults with very-high ASCVD risk,100% of all US adults with ASCVD,35,<b> Two or more<br> major ASCVD events </b>,Reason for very-high risk,
Reason for very-high risk,<b>Reason for very-high risk</b>,Two or more<br> major ASCVD events ,2.7,72.4, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,2,1,2.7 million adults with very-high ASCVD risk were recommended for add-on therapy,72.4% of all US adults with ASCVD,35,<b> Two or more<br> major ASCVD events </b>,Reason for very-high risk,
Reason for very-high risk,<b>Reason for very-high risk</b>,Two or more<br> major ASCVD events ,0.2,8.6, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,2,1,0.2 million adults were receiving add-on therapy,8.6% of adults with very-high ASCVD risk were recommended for add-on therapy ,35,<b> Two or more<br> major ASCVD events </b>,Reason for very-high risk,
Statin use,<b>Statin use</b>,No statins,4.4,, million US adults ,with ASCVD,1,1,4.4 million US adults ,with ASCVD,55,<b> No statins </b>,Statin use,
Statin use,<b>Statin use</b>,No statins,3.4,77.7, million adults with very-high ASCVD risk,% of all US adults with ASCVD,1,1,3.4 million adults with very-high ASCVD risk,77.7% of all US adults with ASCVD,55,<b> No statins </b>,Statin use,
Statin use,<b>Statin use</b>,No statins,3.2,73.2, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,1,1,3.2 million adults with very-high ASCVD risk were recommended for add-on therapy,73.2% of all US adults with ASCVD,55,<b> No statins </b>,Statin use,
Statin use,<b>Statin use</b>,No statins,0.3,8.4, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,1,1,0.3 million adults were receiving add-on therapy,8.4% of adults with very-high ASCVD risk were recommended for add-on therapy ,55,<b> No statins </b>,Statin use,
Statin use,<b>Statin use</b>,Atorvastatin or Rosuvastatin ,8.2,, million US adults ,with ASCVD,1.5,1,8.2 million US adults ,with ASCVD,55,<b> Atorvastatin or Rosuvastatin </b>,Statin use,
Statin use,<b>Statin use</b>,Atorvastatin or Rosuvastatin ,6.7,81.2, million adults with very-high ASCVD risk,% of all US adults with ASCVD,1.5,1,6.7 million adults with very-high ASCVD risk,81.2% of all US adults with ASCVD,55,<b> Atorvastatin or Rosuvastatin </b>,Statin use,
Statin use,<b>Statin use</b>,Atorvastatin or Rosuvastatin ,4,49.1, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,1.5,1,4 million adults with very-high ASCVD risk were recommended for add-on therapy,49.1% of all US adults with ASCVD,55,<b> Atorvastatin or Rosuvastatin </b>,Statin use,
Statin use,<b>Statin use</b>,Atorvastatin or Rosuvastatin ,0.1,2.6, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,1.5,1,0.1 million adults were receiving add-on therapy,2.6% of adults with very-high ASCVD risk were recommended for add-on therapy ,55,<b> Atorvastatin or Rosuvastatin </b>,Statin use,
Statin use,<b>Statin use</b>,Other statins,4.6,, million US adults ,with ASCVD,2,1,4.6 million US adults ,with ASCVD,55,<b> Other statins </b>,Statin use,
Statin use,<b>Statin use</b>,Other statins,4.3,94.1, million adults with very-high ASCVD risk,% of all US adults with ASCVD,2,1,4.3 million adults with very-high ASCVD risk,94.1% of all US adults with ASCVD,55,<b> Other statins </b>,Statin use,
Statin use,<b>Statin use</b>,Other statins,3.4,75.1, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,2,1,3.4 million adults with very-high ASCVD risk were recommended for add-on therapy,75.1% of all US adults with ASCVD,55,<b> Other statins </b>,Statin use,
Statin use,<b>Statin use</b>,Other statins,0.2,6.6, million adults were receiving add-on therapy,% of adults with very-high ASCVD risk were recommended for add-on therapy ,2,1,0.2 million adults were receiving add-on therapy,6.6% of adults with very-high ASCVD risk were recommended for add-on therapy ,55,<b> Other statins </b>,Statin use,
Ezetimibe or PCSK9,<b>Ezetimibe or PCSK9</b>,Not on ezetimibe<br> or PCSK9 inhibitors,17.8,, million US adults ,with ASCVD,1,1,17.8 million US adults ,with ASCVD,25,<b> Not on ezetimibe<br> or PCSK9 inhibitors </b>,Ezetimibe or PCSK9,
Ezetimibe or PCSK9,<b>Ezetimibe or PCSK9</b>,Not on ezetimibe<br> or PCSK9 inhibitors,14.7,82.5, million adults with very-high ASCVD risk,% of all US adults with ASCVD,1,1,14.7 million adults with very-high ASCVD risk,82.5% of all US adults with ASCVD,25,<b> Not on ezetimibe<br> or PCSK9 inhibitors </b>,Ezetimibe or PCSK9,
Ezetimibe or PCSK9,<b>Ezetimibe or PCSK9</b>,Not on ezetimibe<br> or PCSK9 inhibitors,10.9,61.2, million adults with very-high ASCVD risk were recommended for add-on therapy,% of all US adults with ASCVD,1,1,10.9 million adults with very-high ASCVD risk were recommended for add-on therapy,61.2% of all US adults with ASCVD,25,<b> Not on ezetimibe<br> or PCSK9 inhibitors </b>,Ezetimibe or PCSK9,
